tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,propietario_id
INSCRIPCION INICIAL NACIONAL,2024-02-23,2024-02-23,1202,Nacional,2024.0,20,PICK-UP,19,FORD,1G,RANGER DC LTD+ 3.0L V6 4X4 10AT D,1.0,Privado,6970.0
INSCRIPCION INICIAL NACIONAL,2024-02-08,2024-02-08,1200,Nacional,2024.0,20,PICK-UP,AC,NISSAN,14,FRONTIER PLATINUM 4X4 AT 2.3 D CD,1.0,Privado,10720.0
INSCRIPCION INICIAL NACIONAL,2024-02-09,2024-02-09,1170,Nacional,2024.0,20,PICK-UP,19,FORD,1K,RANGER DC XLT 2.0L BIT 4X4 10AT D,1.0,Privado,5725.0
INSCRIPCION INICIAL NACIONAL,2024-02-02,2024-02-02,1217,Nacional,2024.0,20,PICK-UP,68,TOYOTA,BZ,HILUX 4X2 DC SR 2.4 TDI 6 AT,1.0,Privado,8991.0
INSCRIPCION INICIAL NACIONAL,2024-02-05,2024-02-05,1217,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,9K,AMAROK HIGHLINE P1 CD V6 AT 4X4,1.0,Privado,13104.0
INSCRIPCION INICIAL NACIONAL,2024-02-19,2024-02-19,1202,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,9J,AMAROK HIGHLINE CD V6 AT 4X4,1.0,Privado,6924.0
INSCRIPCION INICIAL NACIONAL,2024-02-07,2024-02-07,1217,Nacional,2024.0,20,PICK-UP,37,RENAULT,5C,ALASKAN CONFORT 2.3 DCI 160 2WD,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-16,2024-02-16,1202,Nacional,2024.0,20,PICK-UP,19,FORD,1J,RANGER DC LTD 2.0L BIT 4X4 10AT D,1.0,Privado,6997.0
INSCRIPCION INICIAL NACIONAL,2024-02-29,2024-02-29,1202,Nacional,2024.0,20,PICK-UP,19,FORD,1M,RANGER DC XL 2.0L T 4X2 MT D,1.0,Privado,755.0
INSCRIPCION INICIAL NACIONAL,2024-02-09,2024-02-09,1170,Nacional,2024.0,20,PICK-UP,68,TOYOTA,BH,HILUX 4X4 DC SRX 2.8 TDI 6 AT,1.0,Privado,7619.0
INSCRIPCION INICIAL NACIONAL,2024-02-05,2024-02-05,1170,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,9L,AMAROK EXTREME CD V6 AT 4X4,1.0,Privado,7631.0
INSCRIPCION INICIAL NACIONAL,2024-02-26,2024-02-26,1169,Nacional,2024.0,20,PICK-UP,AN,FOTON,02,TM1 CS,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-26,2024-02-26,1202,Nacional,2024.0,20,PICK-UP,19,FORD,1K,RANGER DC XLT 2.0L BIT 4X4 10AT D,1.0,Privado,11608.0
